,loss,f1-score,f1_patch
80,0.10491042037804922,0.6771584985997661,0.7536613590496722
81,0.10646495123704275,0.6788610712162769,0.7539661784632199
82,0.1050935685634613,0.6849555480579252,0.7619512717996446
83,0.10609295864899954,0.682213173246307,0.7584681403135545
84,0.10654175182183584,0.6767415222756556,0.7510504066938979
85,0.10568944911162058,0.6798301150552302,0.7555247760129419
86,0.10639589528242747,0.6785429910670582,0.7542190021516945
87,0.10628870328267416,0.6802696519736957,0.7548156973970584
88,0.10530732373396555,0.6776792571263435,0.7556030691311756
89,0.10550087292989095,0.6796884178550664,0.7549833445099718
90,0.10599216818809509,0.6794584409742653,0.7566729242431904
91,0.10535127719243367,0.6788457403554103,0.7537047376248561
92,0.10502978960673014,0.6769996185164399,0.7537435966947803
93,0.1056741327047348,0.6828664118361382,0.7577175552915201
94,0.10436884760856628,0.6845523426669125,0.7596718430594172
95,0.10615621308485666,0.6767844495242996,0.7528727329540938
96,0.10554354886213939,0.6793792936680065,0.7552995949371686
97,0.10485565563042959,0.6734812174435764,0.7504888432847014
98,0.10525831778844198,0.6797669771515954,0.7567377751549351
99,0.10635491410891215,0.6752870313062388,0.7512442637627547
